intensity_1,intensity_2,separation,true_mass_ratio
0.8665752399787977,0.08163374233358692,93.15041599477696,0.01430026939013575
-1.0,-1.0,-1.0,0.03193350633504031
0.5790015243703968,0.16673345874104933,58.137767414994535,0.013646072304406297
0.4911636023626646,0.18907848323824317,34.48187929913333,0.054392025116117224
-1.0,-1.0,-1.0,0.009061851500467233
-1.0,-1.0,-1.0,0.008218858910867564
0.5119152704323813,0.15292990734875256,90.13878188659973,0.013514005359796315
0.8406218843145531,0.20764213449614688,44.94441010848846,0.03154123257380891
-1.0,-1.0,-1.0,0.00863282127720381
0.9967281380127209,0.1080974411929882,63.788713735268246,0.004637889760190138
0.9257664078934106,0.10862257431851151,78.77182237323191,0.016262571045734312
0.7692445931714669,0.19297306022514407,55.90169943749474,0.02317307333207732
-1.0,-1.0,-1.0,0.0067388916282932814
0.6075186762093034,0.4297874404143834,69.65629906907199,0.15250298728959047
-1.0,-1.0,-1.0,0.0038747576154997345
0.9323499555959839,0.12076119080981644,67.94115100585212,0.03192615959928029
-1.0,-1.0,-1.0,0.009745889975010361
0.46939060613790246,0.16483590465684686,45.31004303683677,0.029130083842352668
0.5491615269668685,0.09524032145407713,67.26812023536856,0.008893241416142702
0.6685828519277829,0.17297469623087966,74.02702209328699,0.017826499627805942
0.6681485130949549,0.0560866014405527,55.78530272392541,0.005771699824112101
0.7620993072362886,0.09669579896839124,69.85699678629192,0.01976869853211828
0.9328911624517646,0.08398986121831524,72.2357252334328,0.004393994506001323
-1.0,-1.0,-1.0,0.0031310986213738726
0.4723848203456322,0.20937219124021056,96.84007434941384,0.029782168026719444
-1.0,-1.0,-1.0,0.013399780513734753
0.6962024063024453,0.13140976266071683,64.1404708432983,0.01082619051714692
-1.0,-1.0,-1.0,0.0861633226954583
-1.0,-1.0,-1.0,0.012956570120517902
0.7792683513667715,0.13441339931370075,77.83315488916018,0.022015771535983587
0.6063832270046292,0.3232745417348457,85.44588931013593,0.0637875136803478
1.0400096656503246,0.1559253878555561,112.00892821556681,0.015983309280302397
-1.0,-1.0,-1.0,0.009147376622943054
0.9599540020110466,0.17103280458893313,53.075418038862395,0.007324068262716104
0.9359473495361724,0.05045629017038317,124.73972903610141,0.018401197725798225
1.4193407979428034,0.12961835882860717,78.63841300535,0.012936115191907802
-1.0,-1.0,-1.0,0.016047713555416045
1.3274337480224168,0.12526809088157548,141.59802258506295,0.027094345248716283
0.8966602747094969,0.24629889382680042,121.16517651536682,0.06899242771694382
1.0876325010100336,0.12390814747638963,113.07077429645558,0.05270984535385406
0.9533960578356095,0.17699608088176488,71.00704190430693,0.012041370309930549
0.9218681809239928,0.13463502054485557,86.14522621712709,0.015850749606736308
0.8635562025971539,0.08316383154918354,89.82204629154248,0.014325640707388001
0.8227944038691027,0.3236428762479045,66.49060083951716,0.04199863855797977
-1.0,-1.0,-1.0,0.004213360122832621
0.9235492931242276,0.12574425176448814,61.09828148156051,0.004974274789124216
0.7041900800180245,0.21145066394019563,82.09750300709517,0.0449242406226643
-1.0,-1.0,-1.0,0.003771922686398103
-1.0,-1.0,-1.0,0.004788594463107071
1.1213979772389204,0.05262468273805183,82.76472678623425,0.011824632124230293
0.742034520610483,0.16025333750824816,73.49829930005184,0.03282255104114944
0.7325454131127074,0.2045194075085484,74.81310045707235,0.03038934135975604
