cluster_name,quantity,true_mass_ratio
A1307,135.16423588648414,0.40196078431372545
A1650,18.8954311177359,0.25942028985507243
A1651,11.095270100007653,0.15912208504801095
A2029,33.416706176953255,0.3744987971130713
A2147,42.53615573499445,0.6666666666666666
A2426,33.8914804645093,0.40071556350626125
A2811,59.514483955395335,0.12748344370860928
A3112,60.76017366802873,0.8166259168704156
A3158,10.913652964724847,0.11382113821138212
A3558,44.55184946322246,0.199297629499561
A3571,65.94275424979139,0.4467005076142132
A3827,35.42418568494432,0.19605809128630702
A3911,66.80985149736296,0.45905172413793105
A3921,93.69540382037947,0.6264367816091955
A401,47.52123871288392,0.27788400254939455
RXCJ1217.6+0339,51.62465792363236,0.3370944992947814
RXCJ1558.3-1410,81.34549928372913,1.9485294117647056
A1023,60.02120065066156,0.5852272727272727
A1205,52.4038910950202,0.15869565217391304
A133,43.661308114904,0.13793103448275862
A1348,82.79619026376817,0.7665952890792291
A2050,96.24359685277489,0.91
A2351,23.375351013903284,0.44206008583690987
A2440,56.76287552861431,0.21140939597315436
A2533,42.14443256776027,0.10603829160530191
A2556,82.4540780653211,1.170731707317073
A2670,58.89713291220892,0.27665706051873196
A2941,78.42587817956488,0.5437710437710437
A3126,60.878246365379674,0.4420382165605096
A3667,49.98946333132214,0.4699853587115666
A3836,33.53407723468866,0.29983525535420097
A3998,160.5231646873351,0.20950323974082075
A4059,76.31407495194668,2.01010101010101
RXCJ0049.4-2931,91.99297763212394,0.3941798941798942
RXCJ0351.1-8212,67.82786694411527,0.6644518272425249
RXCJ1139.4-3327,62.34946208428908,0.6510067114093959
RXCJ1215.4-3900,56.01746786707791,0.2819148936170213
RXCJ2218.2-0350,67.41970266030381,0.12713178294573643
