FOF_Halo_IDs,mass_ratio
0.0,0.01430026939013575
1.0,0.03193350633504031
2.0,0.013646072304406297
3.0,0.054392025116117224
4.0,0.009061851500467233
5.0,0.008218858910867564
6.0,0.013514005359796315
7.0,0.03154123257380891
8.0,0.00863282127720381
9.0,0.004637889760190138
10.0,0.016262571045734312
11.0,0.02317307333207732
12.0,0.0067388916282932814
13.0,0.15250298728959047
14.0,0.0038747576154997345
15.0,0.03192615959928029
16.0,0.009745889975010361
17.0,0.029130083842352668
18.0,0.008893241416142702
19.0,0.017826499627805942
20.0,0.005771699824112101
21.0,0.01976869853211828
22.0,0.004393994506001323
23.0,0.0031310986213738726
24.0,0.029782168026719444
25.0,0.013399780513734753
26.0,0.01082619051714692
27.0,0.0861633226954583
28.0,0.012956570120517902
29.0,0.022015771535983587
30.0,0.0637875136803478
31.0,0.015983309280302397
32.0,0.009147376622943054
33.0,0.007324068262716104
34.0,0.018401197725798225
35.0,0.012936115191907802
36.0,0.016047713555416045
37.0,0.027094345248716283
38.0,0.06899242771694382
39.0,0.05270984535385406
40.0,0.012041370309930549
41.0,0.015850749606736308
42.0,0.014325640707388001
43.0,0.04199863855797977
44.0,0.004213360122832621
45.0,0.004974274789124216
46.0,0.0449242406226643
47.0,0.003771922686398103
48.0,0.004788594463107071
49.0,0.011824632124230293
50.0,0.03282255104114944
51.0,0.03038934135975604
52.0,0.01086591714122216
53.0,0.01464221645004947
54.0,0.010982375728925386
55.0,0.026528065067850843
56.0,0.005309549135453113
57.0,0.04936276996617171
58.0,0.019637147940310164
59.0,0.005512370763872878
60.0,0.015437288456228973
61.0,0.013091152780584177
62.0,0.017369440378283096
63.0,0.008391932054173101
64.0,0.007860811894916475
65.0,0.02940039265225861
66.0,0.0250454644563413
67.0,0.011739954296502202
68.0,0.021030255261687607
69.0,0.014524462779760099
70.0,0.032193747743497966
71.0,0.007753303843131001
72.0,0.014514303455817362
73.0,0.012132581997156226
74.0,0.011786444239936689
75.0,0.03766316755796449
76.0,0.039719396673796606
77.0,0.04645208816198403
78.0,0.008002417031470407
79.0,0.012056415988025492
80.0,0.0037765649513704937
81.0,0.08825781200987397
82.0,0.00867405249556225
83.0,0.0035978342646404413
84.0,0.034551754343350206
85.0,0.020232903331199172
86.0,0.0834957128691444
87.0,0.04176605056260891
88.0,0.027952621154079656
89.0,0.025278158430755125
90.0,0.03909381226816059
91.0,0.011111734596806427
92.0,0.010169287405787075
93.0,0.016038487178862235
94.0,0.01636441554608325
95.0,0.010078141155494571
96.0,0.03201735856107507
97.0,0.008929514722944978
98.0,0.0066112056824825585
99.0,0.010520691797880342
100.0,0.006705872053383439
101.0,0.009553029117367282
102.0,0.009900713503520831
103.0,0.007271930849763286
104.0,0.01347705947185468
105.0,0.0227697922361117
106.0,0.007107108883108916
107.0,0.012605866495632329
108.0,0.015899264533592777
109.0,0.026569472796046188
110.0,0.015157094192069603
111.0,0.004045190871552458
112.0,0.016656824174595592
113.0,0.045332151371505765
114.0,0.012376578332967366
115.0,0.004487258193487458
116.0,0.004904691613774182
117.0,0.04609674701701354
118.0,0.014062088770488793
119.0,0.019486374959114976
120.0,0.10070017778468397
121.0,0.003143540206619773
122.0,0.005432014665495716
123.0,0.027862014610816842
124.0,0.014195092746634955
125.0,0.0060130692872596625
126.0,0.016797868295493183
127.0,0.020072330667977523
128.0,0.007528271126737139
129.0,0.030381909697179372
130.0,0.017244227459034454
131.0,0.0056092931363613645
132.0,0.033580004032246875
133.0,0.012805554759619467
134.0,0.018691669085500927
135.0,0.02473129440949309
136.0,0.0060070873283678316
137.0,0.04179185961147504
138.0,0.08925872776980096
139.0,0.06688755094689063
140.0,0.0032836297116731962
141.0,0.018424579911318423
142.0,0.43534275180150656
143.0,0.07076167715664257
144.0,0.007337289708351999
145.0,0.008852384941235431
146.0,0.005398000825717924
147.0,0.0071850346372236825
148.0,0.06289694329084179
149.0,0.009799911744074786
150.0,0.01199534535583966
151.0,0.016978941449906308
152.0,0.16321923164068863
153.0,0.046371026827456585
154.0,0.016416513837087327
155.0,0.007556355120096935
156.0,0.014125793665261841
157.0,0.01972349015518928
158.0,0.005242523783759046
159.0,0.018679500553159912
160.0,0.03321720116787372
161.0,0.06421555888172567
162.0,0.029823998020253838
163.0,0.003314160274613488
164.0,0.03952757285772245
165.0,0.04480849703008183
166.0,0.03281008594326378
167.0,0.022402447677301422
168.0,0.01650541493333006
169.0,0.11946667417316205
170.0,0.08553984882513309
171.0,0.007173697235412481
172.0,0.08160940729022875
173.0,0.015549807797849362
174.0,0.012325026301952473
175.0,0.056543416421626164
176.0,0.009251673674975359
177.0,0.020273029328154262
178.0,0.003976375043073359
179.0,0.016090925995930212
180.0,0.003713080111801683
181.0,0.032853319357884644
182.0,0.007622797836360109
183.0,0.008368175767324805
184.0,0.007894079964569934
185.0,0.09153272043550609
186.0,0.04425363393453159
187.0,0.036769384331829684
188.0,0.04858995428385571
189.0,0.008802096957872967
190.0,0.010202777055382067
191.0,0.012079890949755442
192.0,0.03367101674903167
193.0,0.02902812722445129
194.0,0.008824350431222558
195.0,0.03361497666264852
196.0,0.02067170075851722
197.0,0.009584285062947904
198.0,0.006558111962107378
199.0,0.010663913797811566
200.0,0.09414281386685218
201.0,0.009734604975237034
202.0,0.009372999863028574
203.0,0.021481894180118408
204.0,0.017938407097506655
205.0,0.026558249477134085
206.0,0.019427671177813043
207.0,0.011456474006484502
208.0,0.050376111835696166
209.0,0.00643042895892278
210.0,0.0019142383416195336
211.0,0.06186475371131716
212.0,0.01768646351126366
213.0,0.03588689736717242
214.0,0.019694012350285544
215.0,0.06819960372198698
216.0,0.01313540218720561
217.0,0.005960541324955762
218.0,0.015867760867602526
219.0,0.21396611072230495
220.0,0.01548536077767858
221.0,0.02761089911968013
222.0,0.004777831837987237
223.0,0.13248511321909426
224.0,0.005908998862643256
225.0,0.013616996532813019
226.0,0.09415026361183844
227.0,0.020934804276753843
228.0,0.03233301514611329
229.0,0.003945178115944967
230.0,0.011359731831709132
231.0,0.032041234652352174
232.0,0.006381826770556166
233.0,0.06271306386014058
234.0,0.009176414656337303
235.0,0.043782810609731354
236.0,0.0073453727320796445
237.0,0.013910160903788675
238.0,0.024647759756459532
239.0,0.01846052985246912
240.0,0.013218638752593336
241.0,0.058261841360651476
242.0,0.028009384243083163
243.0,0.036961515887180586
244.0,0.06261365804836307
245.0,0.012633403561248502
246.0,0.07726772281549817
247.0,0.013973352034353816
248.0,0.11036272827084993
249.0,0.02053783479372597
250.0,0.015882991564320482
251.0,0.017101123993322424
252.0,0.011312678161264876
253.0,0.007905558201568975
254.0,0.0037780997811527298
255.0,0.007359557096084389
256.0,0.009222543872562374
257.0,0.011348003383738495
258.0,0.00506170745124628
259.0,0.00756792403362891
260.0,0.016931133592645798
261.0,0.029396614778532323
262.0,0.013598918611981432
263.0,0.01595511291005111
264.0,0.011246556198689422
265.0,0.028639979289102703
266.0,0.024792986176257956
267.0,0.005633300947422529
268.0,0.024924724100604288
269.0,0.015497685065145988
270.0,0.007330746458786212
271.0,0.018988885457682632
272.0,0.0032636491875987278
273.0,0.04946723340517244
274.0,0.02141858269073902
275.0,0.00939811292066243
276.0,0.014663805732681856
277.0,0.02966996316373764
278.0,0.012402420473098832
279.0,0.05408524487836585
280.0,0.014409602011430832
281.0,0.1265206036702188
282.0,0.013692219843646096
283.0,0.02277068644250617
284.0,0.05590568466070327
285.0,0.1551667605984087
286.0,0.007520576131288502
287.0,0.010550489543678475
288.0,0.08982841749363495
289.0,0.023084349343114544
290.0,0.026481950314128783
291.0,0.012197556792048326
292.0,0.013773886820907947
293.0,0.020670534168706237
294.0,0.020314603630737355
295.0,0.013049330364908514
296.0,0.020923128488754543
297.0,0.009403882405475935
298.0,0.056653063525203926
299.0,0.008467314447031951
300.0,0.013428948497272126
301.0,0.017773526646336395
302.0,0.019048155481660414
303.0,0.0179487142983602
304.0,0.026989243346061068
305.0,0.018113886897765278
306.0,0.056855971169354015
307.0,0.008474714184074179
308.0,0.01412509277214565
309.0,0.009614462208823735
310.0,0.017537101207758914
311.0,0.11473179729147957
312.0,0.010488426390876398
313.0,0.024447825288747792
314.0,0.005962553715049046
315.0,0.028382710867437353
316.0,0.0843497692480286
317.0,0.01095482373959415
318.0,0.026718465713919934
319.0,0.007605346670363847
320.0,0.0063129600752616566
321.0,0.0115223974577808
322.0,0.005150892128625526
323.0,0.004030641443609274
324.0,0.011392710267784338
325.0,0.01000762501517367
326.0,0.023950237079044107
327.0,0.06909621552074058
328.0,0.01631608944238388
329.0,0.07481250840635083
330.0,0.009328622106619474
331.0,0.014944488906004607
332.0,0.006651403396393951
333.0,0.017888116283895326
334.0,0.03466955634952231
335.0,0.02749853889620735
336.0,0.0036257286254966557
337.0,0.005243410308795168
338.0,0.1137803448945899
339.0,0.01771384381483356
340.0,0.028855216313509267
341.0,0.2515210123085007
342.0,0.018967947956438108
343.0,0.018914578582444608
344.0,0.023157788225420882
345.0,0.032063511093279304
346.0,0.017084832109265997
347.0,0.0287122315854086
348.0,0.016101656212738676
349.0,0.016059872755112847
350.0,0.09207268070680391
351.0,0.0105567691803425
352.0,0.01122396675208124
353.0,0.007237671643962045
354.0,0.00521217992401645
355.0,0.006979922871953692
356.0,0.025195429178272197
357.0,0.009726021482435353
358.0,0.01557741795174987
359.0,0.053571432913687406
360.0,0.010002894863735616
361.0,0.018701452718511664
362.0,0.04156368497833091
363.0,0.009198883074905136
364.0,0.01686208795137295
365.0,0.010016103391762511
366.0,0.01750032965543096
367.0,0.01748611313023733
368.0,0.02992387142427778
369.0,0.011418343975841109
370.0,0.004900501627477044
371.0,0.05076488254504017
372.0,0.02970105497665189
373.0,0.004997169274929816
374.0,0.011690112368797976
375.0,0.0049003322044436845
376.0,0.007059384768772183
377.0,0.024555806101980836
378.0,0.015533788358182405
379.0,0.00979744933218333
380.0,0.21643302415265947
381.0,0.010321431398040452
382.0,0.138028905086668
383.0,0.015544036774083662
384.0,0.02314758637404503
385.0,0.013798042131831343
386.0,0.039077144829127886
387.0,0.050414674273918304
388.0,0.025429785173719098
389.0,0.020037986424109318
390.0,0.04712480554086529
391.0,0.006115081858527046
392.0,0.03066919843215793
393.0,0.008981069879447204
394.0,0.0069693411310061985
395.0,0.012563738748457164
396.0,0.12395146636002313
397.0,0.016286237118834767
398.0,0.047247112748792425
399.0,0.02131219890361462
400.0,0.017980465465349142
401.0,0.021013052980123483
402.0,0.009004510571759675
403.0,0.24348421494718123
404.0,0.05902509834435616
405.0,0.028308893651877186
406.0,0.023749893133992606
407.0,0.009456844960696894
408.0,0.01969198102283036
409.0,0.010225794136749278
410.0,0.007555370341297842
411.0,0.013272901135459024
412.0,0.007913959249215454
413.0,0.043003466654856444
414.0,0.013979634720405842
415.0,0.0224803096595379
416.0,0.06844050213932125
417.0,0.010833324789559106
418.0,0.010513067456291951
419.0,0.035217866138655914
420.0,0.02993876325970524
421.0,0.011179610728790066
422.0,0.005128872481009169
423.0,0.010890724084136062
424.0,0.038509644788735975
425.0,0.055043082499868785
426.0,0.040380211121965486
427.0,0.03480352202653776
428.0,0.03447529599292631
429.0,0.012527501098889471
430.0,0.025716608678293257
431.0,0.06159089119764407
432.0,0.04870521794557077
433.0,0.0282870923357214
434.0,0.008534445398283965
435.0,0.010057862409058156
436.0,0.030050098752129176
437.0,0.015424010121493957
