FOF_Halo_ID,Subhalo_ID,sigma_0_projecty,sigma_3_projecty,sigma_5_projecty,sigma_10_projecty
15939153,9154955,1.1637890776705975,1.1637890776705975,1.1637890776705975,2.4696978246684345
15981083,9178761,2.7920557799873444,1.2374510119883215,2.7920557799873444,2.527896807894097
16023780,9202243,744.7173666442351,744.7173666442351,745.8491475722658,2.657418294451301
16067890,9227949,1.3420718482014153,1.3420718482014153,1.2147917017931746,1.2147917017931746
16113365,9253598,1136.804689299932,2.467184583751067,3.3553991060984933,7.729292950195269
16151289,9278432,2.5510639200264604,1.114337186421021,1.1344432464556906,1.2125429076088443
16190590,9299510,1.1274023981232233,1.1179266101076626,1.1179266101076626,4.2061009820320345
16230920,9326278,2.565614264243265,4.160909088597483,2.5292267646739437,2.5939920009915207
16267749,9351824,8.511525532825965,6.275432324026519,2.5745833246297845,1.1616243856723314
16309891,9372972,655.6188836222772,1.0496270502930012,1.3231584784675992,1.3231584784675992
16349839,9395922,4.3585134793623554,1.2035295247811142,1.2035295247811142,4.0418366970954835
16388583,9419077,667.8251430017841,11.038441409832497,13.935917349396652,12.799610498496186
16427321,9439819,1002.007570241608,153.0417455924363,2.7314914299370265,2.5824851298811464
16462749,9461455,104.54589048146346,111.81394938202386,111.81394938202386,111.61845861782952
16498961,9480893,2.6294689953061443,1.2302006204567013,2.6294689953061443,2.6294689953061443
16533631,9501405,868.1554058513663,1.092147848080952,1.092147848080952,2.5294604994715533
16566013,9523059,229.19661172489845,229.19661172489845,1.1340767990664227,2.6083088936643075
16602584,9543673,604.4558691760196,604.2783844497692,9.419551928423889,11.751010035555847
16637109,9565073,688.0935279804272,3.553401820369386,3.553401820369386,6.359922274243853
16669220,9586137,9.519917749033599,1.0024342544855818,0.9947100867629757,2.366188941048598
16707333,9604098,765.0785977214898,765.0785977214898,765.0785977214898,177.89049671518913
16746257,9623455,338.9461738012169,338.9461738012169,22.694475517283667,19.326534987666843
16783196,9642736,933.2238321615824,933.2238321615824,23.87706531165652,11.955203670029631
16817419,9662874,741.8134910182907,10.605474518048839,6.943306767443583,3.3788150961778363
16850749,9684469,392.7099226700149,392.7099226700149,4.1252062879947236,4.1252062879947236
