fof_halo_id_99,snap,halo_id_snap,blue_frac_05,blue_frac_03,merger_score_pre,merger_score_post
18031884,73,18588191,0.29411764705882354,0.23529411764705882,2.1646575525850023,0.0
18057470,73,18615133,0.4583333333333333,0.3333333333333333,0.6279327758212597,0.16772746306576458
18083780,73,18642597,0.3939393939393939,0.2727272727272727,0.2976956929908574,0.41338081863248144
18115595,73,18672368,0.5882352941176471,0.49411764705882355,0.0,1.1362994029211981
18143062,73,18699258,0.2682926829268293,0.17073170731707318,0.5431903847028781,0.12805498080883293
18168907,73,18724684,0.44680851063829785,0.3404255319148936,0.0,0.8620034717086682
18193714,73,18751007,0.15,0.125,1.2321066091295898,0.0
18215742,73,18772142,0.5079365079365079,0.3968253968253968,0.0,0.9511726488315783
18235846,73,18797022,0.3170731707317073,0.2682926829268293,0.4439784005537978,0.24898134093246183
18259461,73,18823661,0.5909090909090909,0.4318181818181818,0.7814214762520123,0.32175921262465035
18285440,73,18851149,0.35135135135135137,0.21621621621621623,0.0,0.5232772721449918
18305929,73,18874841,0.15217391304347827,0.10869565217391304,0.9830099166629408,0.0
18326474,73,18895600,0.43636363636363634,0.38181818181818183,0.0,1.0433967583171146
18351627,73,18921251,0.5606060606060606,0.5,0.0,0.40953425003532934
18373383,73,18945626,0.5147058823529411,0.4117647058823529,0.5283736538939716,1.6659764065997402
18399944,73,18971627,0.5102040816326531,0.42857142857142855,0.0,0.580333562356717
18421126,73,18994901,0.3958333333333333,0.2916666666666667,0.0,0.0
18445260,73,19016852,0.36363636363636365,0.24242424242424243,0.0,0.3311137462016385
18464818,73,19039068,0.5849056603773585,0.4339622641509434,0.0,0.7670868726953378
18491313,73,19064729,0.3617021276595745,0.2765957446808511,0.4780360411939321,0.7972997605218282
18512862,73,19086980,0.3181818181818182,0.25,0.920178632829266,0.0
18539098,73,19110041,0.43636363636363634,0.3090909090909091,0.0,1.2033339567004044
18558842,73,19130222,0.3225806451612903,0.22580645161290322,0.0,1.3793814085085165
18579555,73,19152181,0.1702127659574468,0.14893617021276595,0.6662067641712182,0.0
18602073,73,19173957,0.4861111111111111,0.3472222222222222,0.9656285433433545,0.919291884760516
18624090,73,19194547,0.5384615384615384,0.41025641025641024,0.21947160100156518,0.1196075061270043
18643420,73,19217034,0.4583333333333333,0.375,0.0,0.24898134093246188
18663609,73,19239840,0.3076923076923077,0.23076923076923078,0.0,0.0
18685064,73,19260657,0.64,0.56,1.0,0.21150624007463414
18706787,73,19282001,0.5416666666666666,0.5416666666666666,0.3841339037918129,0.7547987259963859
18727320,73,19303270,0.2903225806451613,0.25806451612903225,3.0,0.23331442347434717
18750520,73,19323751,0.375,0.3333333333333333,0.0,0.3354549261315292
18771334,73,19345589,0.15384615384615385,0.11538461538461539,0.8787784339277288,0.0
18788090,73,19363693,0.2857142857142857,0.22857142857142856,1.2381736501539347,0.0
18809506,73,19387863,0.38095238095238093,0.3333333333333333,0.6662067641712182,0.0
18827654,73,19406839,0.6153846153846154,0.4358974358974359,1.4476282404232306,0.2742959312125297
18851017,73,19429712,0.17647058823529413,0.14705882352941177,0.21947160100156518,0.0
18867961,73,19449499,0.37142857142857144,0.34285714285714286,1.1991968486881843,0.8795362886718712
18887856,73,19473082,0.2608695652173913,0.21739130434782608,0.32609732401415337,0.3210682710367846
18908963,73,19495085,0.48936170212765956,0.40425531914893614,1.0,0.7309527404913665
18929622,73,19518678,0.17857142857142858,0.10714285714285714,0.0,0.5775938925223766
18948062,73,19536951,0.5384615384615384,0.41025641025641024,0.2549119430761094,0.11960750612700433
18969218,73,19560692,0.4318181818181818,0.36363636363636365,1.5628429525040246,0.613022130776206
18989886,73,19580175,0.7058823529411765,0.5882352941176471,0.0,0.17929167581660505
19007993,73,19600782,0.3793103448275862,0.3448275862068966,0.7211608074942523,0.15167279903144593
19030246,73,19623979,0.32432432432432434,0.21621621621621623,0.4780360411939321,0.919291884760516
19048967,73,19645606,0.3333333333333333,0.28205128205128205,1.8475518208254955,0.0
19063700,73,19661037,0.3333333333333333,0.28205128205128205,0.783285596970081,0.6130221307762064
19082221,73,19680484,0.48717948717948717,0.38461538461538464,0.920178632829266,0.9291272246802851
19102051,73,19699607,0.2972972972972973,0.2972972972972973,0.0,1.5129626099352378
19119113,73,19717095,0.4166666666666667,0.4166666666666667,0.920178632829266,0.0
19136797,73,19734898,0.6610169491525424,0.576271186440678,0.0,1.0557124962515887
19153100,73,19751546,0.3235294117647059,0.2647058823529412,0.0,0.48197139955890456
19170433,73,19770089,0.4,0.32,0.0,0.7217511741185734
19184393,73,19786347,0.45652173913043476,0.2826086956521739,1.0472581315084057,0.0
19211783,73,19806248,0.2,0.125,1.050340667963031,0.0
19230547,73,19823612,0.34375,0.28125,0.2549119430761094,0.0
19246529,73,19840261,0.39473684210526316,0.34210526315789475,0.0,0.1677274630657646
19262770,73,19857224,0.7647058823529411,0.5588235294117647,0.0,1.967260206655033
19277552,73,19872907,0.3902439024390244,0.36585365853658536,0.6160533045647949,0.0
19296435,73,19889396,0.5217391304347826,0.34782608695652173,0.0,1.0664194486301628
19313671,73,19907167,0.3076923076923077,0.2692307692307692,0.0,0.0
19327357,73,19921262,0.5,0.42857142857142855,0.0,0.8686766460779121
19340302,73,19935431,0.36363636363636365,0.18181818181818182,0.920178632829266,0.0
19357750,73,19953099,0.5,0.45,0.570245394101647,0.0
19372389,73,19969166,0.2894736842105263,0.15789473684210525,0.920178632829266,0.0
19389199,73,19984541,0.45454545454545453,0.3181818181818182,0.0,0.23331442347434733
19402069,73,19998758,0.42857142857142855,0.32653061224489793,0.0,0.0
19416927,73,20014376,0.65625,0.53125,0.0,0.3019423961494943
19429412,73,20028418,0.7272727272727273,0.5454545454545454,0.0,0.32175921262465035
19441351,73,20041711,0.19230769230769232,0.11538461538461539,0.3841339037918129,0.0
0,74,0,0.27860696517412936,0.24378109452736318,3.692936598207307,3.103920046465064
252455,74,260311,0.21171171171171171,0.17117117117117117,6.054635646852868,3.966599261661588
476245,74,490826,0.26136363636363635,0.20454545454545456,3.1467243044032758,4.353692824551268
692426,74,712956,0.21518987341772153,0.16455696202531644,5.123407544493342,2.558224091650641
880597,74,907751,0.3625,0.2875,3.333398573176621,2.279637965834526
1068507,74,1109980,0.23076923076923078,0.14201183431952663,7.344893709911992,2.8069519120640303
