FOF_Halo_ID,Subhalo_ID,sigma_0_projectx,sigma_3_projectx,sigma_5_projectx,sigma_10_projectx
13316140,7631495,518.3298707922743,1.0952842511256886,1.161390688261999,2.57536325006978
13371165,7666611,448.27920252295235,445.18863053352436,445.18863053352436,444.4405334475446
13418091,7699738,1.0529836700070134,1.1300458622543852,1.0529836700070134,1.2263393007951517
13474771,7732001,1318.2128083662453,1318.2128083662453,59.73297084489705,54.02707574600717
13532574,7759148,486.68556678662895,486.68556678662895,1194.6560826062184,1187.4074252907146
13580395,7789873,872.9892252424461,15.874499201752121,15.874499201752121,10.988768278975101
13626852,7821379,7.850393618930039,6.199572684247161,6.199572684247161,4.553615669465657
13673079,7849977,457.8060342337486,457.8060342337486,3.603888492195255,11.105458245525353
13721716,7880893,181.7023594380379,181.7023594380379,10.596522452229577,17.766290088511177
13776535,7909976,1.2619481763930231,1.0865601686047877,1.0865601686047877,2.5101395856024755
13826982,7940482,581.896719311592,581.896719311592,581.896719311592,21.905701157688085
13879750,7968500,559.7600309247407,1.2456082665543058,2.761351324598725,5.9225283998989084
13931118,7996331,6.077444376206683,2.9077119206116673,1.401616647905456,10.76496899131306
13983997,8025746,285.46876404045844,285.46876404045844,285.46876404045844,2.64542587748779
14034933,8055180,1781.9835153618167,1781.9835153618167,1781.9835153618167,1781.9835153618167
14088498,8084217,551.2730269468334,1.027763528706393,1.3736436818147482,2.7296528419849952
14130316,8109923,1.089729896133703,1.3461676220515542,1.3461676220515542,3.664179127286668
14174744,8136845,28.626835673123903,3.6145904708117493,4.319958051804683,5.937019139551378
14233330,8167562,0.9455452262821272,1.4014193439258393,2.8508690993600148,6.452202180501131
14287597,8194454,1.4733664098888508,0.9277220023687701,0.9277220023687701,0.9277220023687701
14335799,8223024,769.9748602813348,1.2195451999602436,1.2195451999602436,1.0637836270787688
14378078,8251771,751.1150718745608,751.1150718745608,1.1858459841329885,7.156296528619559
14429550,8280408,2469.4292856809643,2295.8680862147485,2296.396680405154,2294.623406932106
14474652,8306408,3703.011473988668,3086.0397952892376,3086.0397952892376,3086.731619827871
14519541,8333763,1530.7775535420221,1530.7775535420221,1530.7775535420221,1530.7775535420221
14561807,8362473,878.1157010745654,878.1157010745654,1.4848547046102578,1.5411980640653298
14608858,8388248,446.785896897331,445.6598094064456,444.4434444134024,47.55629631211703
14656307,8418955,1.0383085638355927,1.1273765998816891,2.637909024031541,2.637909024031541
14702020,8445478,2.5642267287334737,2.490945859418871,2.490945859418871,4.688759211112591
14745621,8470586,2.628857151421702,1.2594149215682258,1.2594149215682258,1.211402145518804
14792227,8496867,1.2289400451292083,1.019129685953834,1.019129685953834,2.506591026609514
14840507,8520731,2.909597948149328,2.909597948149328,2.9563606468771457,4.5618389523636385
14887593,8547162,1.2014633958013239,1.2014633958013239,1.1358233795887447,2.575144249275486
14931303,8575306,11.676108636229433,2.4882211611381146,2.4882211611381146,3.752499113687685
14980356,8600493,1214.1578762594434,5.7850396271463005,7.044336744620413,13.00744378561554
15020206,8627300,456.75383826999985,7.361281643320414,4.064523432716409,4.6008315588609765
15075264,8651442,3759.963359107436,3759.963359107436,3759.963359107436,4141.379730112514
15120042,8675949,159.87171131029277,6.519800538860103,5.833243778341434,0.6027132415782148
15160903,8699877,1334.9035890483267,1334.9035890483267,1334.9035890483267,1287.201863441487
15206067,8727112,1123.0357157143196,1123.0357157143196,14.452856899927134,15.546123402489311
15247173,8753417,2.476697004714939,1.2260219075195875,3.564973768527473,2.7649762955996233
15291451,8778106,917.4793583979215,917.4793583979215,917.4793583979215,4.802614657824763
15341007,8801029,3394.16338226927,3217.838359349258,3217.838359349258,3215.8008129295044
15385189,8828920,827.1745700829689,827.1745700829689,827.1745700829689,4.220298013039705
15430889,8854968,764.8980783678559,764.8980783678559,4.464738216390107,9.385226760177876
15470983,8880008,4.719131540411324,4.719131540411324,4.719131540411324,4.7596867445909155
15517901,8905817,3221.830484401127,3196.9538623350163,3199.1270757793955,3194.2208552146326
15562043,8930302,2.6571762885349197,2.6571762885349197,2.7314588687389527,2.7314588687389527
15608847,8956448,1.1914226386571154,1.097552059545092,1.1914226386571154,1.2467729265691856
15650347,8980664,2.6161584337880623,1.2278384755309104,1.2278384755309104,2.5869149959545554
15691936,9004656,1.1380519968675085,1.1497654796613996,1.2064672489248338,1.1953095465532644
15732682,9031681,396.3487308245788,2.9963082992669583,5.230542774516578,6.264784186757028
15770874,9056171,0.9183516078090709,2.337916508674795,3.2487166959499443,7.7069329334698065
15814214,9078891,1108.9964388816252,143.40734728797395,143.40734728797395,143.40734728797395
15858520,9103762,2.5315345900306974,1.0908688416619088,1.0908688416619088,1.0908688416619088
15895667,9128478,303.3910588150934,249.25626812404965,252.5843632969724,251.02879225839578
15939153,9154955,1.1735972647041797,0.9784035113575547,0.9784035113575547,0.9784035113575547
15981083,9178761,20.63025213266115,2.78324144589324,2.78324144589324,1.271229648043039
16023780,9202243,606.8044283289978,606.8044283289978,1.2844883838622403,2.765335745752084
16067890,9227949,7.4651511951469125,2.615959684425732,1.239980388255308,1.239980388255308
16113365,9253598,714.9641873385302,2.7124293416531695,4.157396159683067,5.747024858391267
16151289,9278432,2.56760949270494,1.1199113943757264,1.1199113943757264,1.206520354666886
16190590,9299510,633.6661116710303,1.2208329773477264,1.212087825821947,4.232101423951765
