Index,FOF_Halo_ID_At99,Subhalo_ID_At99,FOF_Halo_ID_At92,Subhalo_ID_At92,GroupPos,Group_R_Crit200,Group_R_Crit500
19,3135769,1690420,3170074,"[22746.50390625, 574135.125, 272675.5]",1715.4080810546875,1113.5489501953125
20,3238091,1753379,3271590,"[177567.28125, 666261.6875, 454926.09375]",1587.0509033203125,1065.976318359375
21,3343359,1819179,3377514,"[157497.609375, 157575.640625, 502737.78125]",1785.8150634765625,1218.4658203125
22,3457081,1883287,3502038,"[197233.421875, 421725.90625, 227703.34375]",1829.9139404296875,1272.214599609375
23,3556542,1938369,3599039,"[324784.0625, 87350.7578125, 472698.90625]",1747.115478515625,1117.2388916015625
24,3656685,1995553,3703965,"[621733.0625, 39256.65625, 343862.1875]",1652.968017578125,1039.9913330078125
25,3758330,2057439,3808956,"[570915.9375, 222038.734375, 549808.625]",1730.0030517578125,1075.8297119140625
26,3863281,2110956,3913540,"[178658.75, 586012.8125, 360785.4375]",1561.723876953125,985.4799194335938
27,3960854,2166001,4012697,"[450873.75, 449178.0, 262108.859375]",1542.6668701171875,1013.7910766601562
28,4054274,2224598,4109664,"[195226.9375, 151510.75, 98785.421875]",1498.9971923828125,949.7256469726562
29,4152102,2278552,4212287,"[677802.8125, 1297.2412109375, 474248.40625]",1655.1258544921875,1075.387939453125
30,4254230,2337596,4316128,"[527831.375, 424932.09375, 549512.125]",1594.8802490234375,968.385009765625
31,4356618,2395184,4418693,"[497479.3125, 445127.59375, 202523.53125]",1745.31982421875,1145.9603271484375
32,4461296,2451790,4523080,"[181562.328125, 455986.5, 167573.296875]",1605.209228515625,1046.5401611328125
33,4561713,2504159,4625904,"[180952.859375, 452800.0, 304671.0]",1484.10302734375,873.3406372070312
34,4656216,2562531,4718690,"[313559.9375, 4178.08447265625, 174358.546875]",1738.0037841796875,1105.998779296875
35,4753637,2618007,4811002,"[159847.359375, 130731.109375, 530970.6875]",1275.3880615234375,849.7259521484375
36,4854863,2674591,4910624,"[138378.8125, 469802.71875, 547870.6875]",1700.3563232421875,1075.4822998046875
37,4959833,2729158,5007992,"[135086.609375, 631792.625, 288167.3125]",1636.4521484375,1079.7447509765625
38,5059214,2786558,5111834,"[348647.75, 304447.75, 368185.5625]",1603.000732421875,1036.627197265625
39,5160063,2843216,5216595,"[301193.78125, 506357.0625, 203293.46875]",1437.5430908203125,931.3482666015625
40,5251697,2896072,5313041,"[497936.1875, 173896.578125, 540505.1875]",1238.4677734375,826.7122192382812
41,5348819,2949381,5412505,"[636425.1875, 98321.46875, 129058.640625]",1053.960205078125,617.4702758789062
42,5432141,3002631,5500269,"[624956.4375, 233293.484375, 569393.125]",1603.578857421875,1053.131103515625
43,5524229,3053960,5594486,"[587194.75, 154230.140625, 451648.125]",1668.45849609375,1082.718017578125
44,5608717,3111586,5683855,"[676492.5625, 648401.375, 671051.0625]",1590.2303466796875,988.802490234375
45,5693289,3162329,5770832,"[559604.25, 581307.625, 350788.8125]",1615.6904296875,1038.7911376953125
46,5787144,3209640,5864536,"[486185.5, 294392.75, 22375.916015625]",1259.5184326171875,837.8640747070312
47,5873398,3259607,5954750,"[284584.6875, 454652.84375, 656748.625]",1673.44873046875,1138.2335205078125
48,5956970,3316474,6037526,"[476357.46875, 465348.53125, 115938.1640625]",1664.4241943359375,1023.2511596679688
49,6043040,3366402,6122644,"[544064.0625, 117563.1328125, 635855.5]",1658.0078125,1089.1793212890625
50,6130348,3417967,6210951,"[674682.75, 341071.875, 625404.1875]",1259.015869140625,806.0989990234375
51,6225917,3464804,6302013,"[318376.125, 348395.875, 276939.15625]",1636.59716796875,1056.076904296875
52,6325415,3509889,6399255,"[607329.375, 440253.40625, 178085.984375]",1667.5853271484375,1096.3680419921875
53,6412656,3559085,6490501,"[144403.140625, 617809.9375, 337579.125]",1457.2310791015625,954.2151489257812
54,6499612,3606049,6579478,"[168311.53125, 204055.171875, 56014.92578125]",1433.24560546875,919.0077514648438
55,6574070,3653056,6659497,"[132310.328125, 71545.9453125, 168580.640625]",1719.9854736328125,1071.06884765625
56,6664769,3701097,6748953,"[206392.015625, 46800.046875, 423175.9375]",1344.1580810546875,861.5274658203125
57,6748564,3747820,6836185,"[163438.421875, 604959.1875, 360816.90625]",1479.6553955078125,966.2957763671875
58,6834499,3792907,6919883,"[21898.658203125, 191039.578125, 146363.875]",1592.8629150390625,963.9249267578125
59,6913365,3840535,6997769,"[240243.8125, 361888.125, 205952.25]",1484.018798828125,947.7357177734375
60,6991026,3884986,7074140,"[82331.3671875, 419514.90625, 39944.09765625]",1559.7711181640625,983.3875122070312
61,7065334,3929752,7148664,"[156985.75, 188150.921875, 218240.109375]",1551.3836669921875,1032.7723388671875
62,7146294,3975693,7231892,"[660629.5, 358134.5625, 114057.9765625]",1518.338134765625,993.3175048828125
63,7235867,4020632,7322452,"[346529.0, 67884.59375, 476515.3125]",1415.302001953125,914.0993041992188
64,7325028,4068963,7412902,"[7491.99072265625, 294828.53125, 599833.75]",1662.33056640625,1111.1429443359375
65,7403396,4108950,7493233,"[404565.6875, 313415.0625, 304557.34375]",1616.1151123046875,1088.18115234375
66,7474466,4150998,7563091,"[192839.203125, 95968.546875, 145811.625]",1421.6546630859375,939.0673828125
67,7547375,4198154,7635837,"[554223.75, 315169.78125, 130022.9609375]",1349.981201171875,882.0553588867188
68,7630798,4245193,7722266,"[295226.34375, 63049.8828125, 425324.9375]",1248.87939453125,783.6085205078125
69,7706133,4289900,7802225,"[671769.5, 361954.09375, 632319.0]",1353.0787353515625,825.7400512695312
70,7778424,4330973,7878820,"[337458.75, 392823.40625, 86251.84375]",1421.57861328125,925.8705444335938
71,7860333,4373303,7965460,"[55155.4453125, 83122.9140625, 469153.375]",1603.8546142578125,1083.0843505859375
72,7935722,4420201,8037443,"[455852.78125, 155537.09375, 538717.5625]",1543.888427734375,939.1834716796875
73,8012756,4461095,8115446,"[316639.90625, 623087.9375, 450726.875]",1253.507568359375,799.6830444335938
74,8094210,4503408,8196490,"[222830.46875, 482935.4375, 450997.125]",1472.1551513671875,912.2470092773438
75,8175593,4545763,8276010,"[583320.875, 329831.125, 643102.0]",1366.8179931640625,897.7274780273438
76,8241267,4590018,8344272,"[125764.8359375, 54007.390625, 647284.0]",1132.1759033203125,709.2255249023438
77,8311356,4634247,8419504,"[35361.9609375, 573578.6875, 45110.40234375]",1506.13134765625,1019.7771606445312
78,8384388,4677337,8494791,"[334806.3125, 33948.63671875, 429417.75]",1354.4921875,923.1334838867188
79,8460952,4718712,8572496,"[188911.421875, 29559.55859375, 332750.40625]",1520.695068359375,954.23779296875
80,8560074,4756159,8665146,"[387198.25, 213195.140625, 120791.8671875]",1279.9053955078125,826.4684448242188
81,8629805,4792466,8736272,"[641381.6875, 363040.90625, 527037.9375]",1576.215087890625,1013.4208374023438
82,8714627,4831605,8814243,"[276346.65625, 399630.125, 662127.75]",1369.196533203125,921.8611450195312
83,8790231,4868489,8892198,"[322758.8125, 356708.46875, 270332.875]",1424.8121337890625,940.0825805664062
