fof_halo_id_99,snap,halo_id_snap,blue_frac_05,blue_frac_10,merger_score_pre,merger_score_post
0,72,0,0.12121212121212122,0.3305785123966942,3.2788780101296955,3.5458241741523486
252455,72,262017,0.12761506276150628,0.32426778242677823,3.7064623547067512,5.967401020559565
476245,72,494306,0.1165644171779141,0.34662576687116564,3.7199159198824687,3.6828442685216545
692426,72,714650,0.08333333333333333,0.30952380952380953,6.05666192686076,2.1640343756913216
880597,72,911206,0.17204301075268819,0.3870967741935484,1.576283811380447,3.620200319356677
1068507,72,1114731,0.11614730878186968,0.32294617563739375,6.413902411495716,4.140527792700841
1263653,72,1300283,0.07407407407407407,0.26936026936026936,4.488093979398573,5.455663198155537
1431487,72,1479238,0.19596541786743515,0.3919308357348703,1.0265010156883059,3.432937923205674
1580995,72,1637548,0.06444906444906445,0.21621621621621623,2.8254128685245985,2.5938809189403496
1763481,72,1812403,0.2275449101796407,0.4221556886227545,2.4660238603999356,3.883799503742107
1921024,72,1982167,0.13333333333333333,0.26666666666666666,2.953431584220664,1.7686314187510472
2069291,72,2136543,0.11917098445595854,0.30569948186528495,2.427657902482898,4.189319906813576
2213486,72,2278798,0.15294117647058825,0.3588235294117647,3.384419415186944,2.8661387410766572
2380799,72,2435928,0.056910569105691054,0.25203252032520324,3.295516555069514,1.4148365835845995
2507618,72,2570531,0.13636363636363635,0.354978354978355,5.396218488576129,2.2306339670785587
2637623,72,2710864,0.1015625,0.2994791666666667,2.9403765415427476,2.3550961618783837
2771226,72,2835238,0.20192307692307693,0.4110576923076923,1.6698772169941734,0.7340152914553224
2892630,72,2962327,0.10835913312693499,0.26006191950464397,5.554335951628553,0.7079443649142974
3020669,72,3081411,0.17060367454068243,0.34908136482939633,1.7931000270907376,2.580077828987526
3135769,72,3204106,0.1921921921921922,0.40540540540540543,0.8889820890372084,0.9285433511434054
3238091,72,3310832,0.1054421768707483,0.2789115646258503,2.347598478100241,0.586590846650656
3343359,72,3417517,0.15759312320916904,0.3638968481375358,2.1239780062052955,0.85633924783922
3457081,72,3535001,0.05714285714285714,0.2571428571428571,5.993086004597327,3.721132360468694
3556542,72,3633126,0.1016260162601626,0.3252032520325203,1.3385289341377706,4.626218337355705
3656685,72,3732094,0.11940298507462686,0.34328358208955223,0.5266185701847166,2.6397890039157064
3758330,72,3842343,0.11363636363636363,0.3446969696969697,4.415062596981082,2.5549582406860925
3863281,72,3959149,0.12340425531914893,0.3021276595744681,1.955174423931841,3.2433705587551405
3960854,72,4068703,0.1220472440944882,0.30708661417322836,0.33302938982298114,1.3664818490919495
4054274,72,4175392,0.21120689655172414,0.35344827586206895,2.964000965235426,4.3772515861272785
4152102,72,4281618,0.11469534050179211,0.3333333333333333,0.47749698052635736,3.5115373180211
4254230,72,4385137,0.2459016393442623,0.5049180327868853,1.172853916877004,2.7034123108083987
4356618,72,4493919,0.18983957219251338,0.3850267379679144,1.6263055820308765,3.0570044333788307
4461296,72,4604459,0.2,0.39,1.9701825711362162,3.0200088847995152
4561713,72,4710786,0.23423423423423423,0.4774774774774775,1.2137543333684,1.9651380024340603
4656216,72,4807921,0.10526315789473684,0.2982456140350877,1.6814721892967455,2.7210322389350097
4753637,72,4903287,0.16292134831460675,0.4044943820224719,2.4147265693056905,0.2524012549737753
4854863,72,5004410,0.14184397163120568,0.32269503546099293,0.0,4.205535933408478
4959833,72,5103469,0.09505703422053231,0.2509505703422053,2.7169509248320347,0.8058767333647419
5059214,72,5205982,0.16981132075471697,0.38544474393531,2.8079774723277335,2.586194255126366
5160063,72,5309919,0.23232323232323232,0.5303030303030303,1.3977401384062045,4.774931640128412
5251697,72,5406639,0.09395973154362416,0.31543624161073824,0.9210731379618483,3.58690561984344
5348819,72,5502975,0.06451612903225806,0.25806451612903225,1.2176605850185407,0.827081103514999
5432141,72,5597900,0.11550151975683891,0.3343465045592705,4.129243055375508,1.8666646441365549
5524229,72,5687125,0.18495297805642633,0.39184952978056425,0.9984623217120256,2.5470330925274025
5608717,72,5781086,0.18505338078291814,0.3807829181494662,1.467615382330562,2.7731933821936314
5693289,72,5869652,0.15512465373961218,0.33240997229916897,2.035559485603775,2.7091299486701805
5787144,72,5969006,0.07627118644067797,0.211864406779661,1.5586870234734889,0.6346386493157374
5873398,72,6058672,0.1813186813186813,0.35714285714285715,3.5326097822412845,0.516410735144412
5956970,72,6151327,0.22121212121212122,0.4,0.5567243919635533,2.220310912262474
6043040,72,6239787,0.10240963855421686,0.3373493975903614,1.0174607746416984,1.3756424903523208
6130348,72,6328659,0.24615384615384617,0.46923076923076923,0.8492062827511891,2.002935502223551
6225917,72,6420510,0.18151815181518152,0.37623762376237624,3.5784297860250978,1.928345784769173
6325415,72,6513253,0.1282798833819242,0.3294460641399417,3.410551221014818,1.8512826576475714
6412656,72,6605153,0.1037344398340249,0.2946058091286307,4.036547152211688,1.2122787471785577
6499612,72,6695159,0.20812182741116753,0.38578680203045684,2.539397777420922,1.8034536467618634
6574070,72,6775821,0.23121387283236994,0.48554913294797686,1.1965963822709729,4.457846210352776
6664769,72,6867374,0.087248322147651,0.2684563758389262,3.052586515666674,1.1576912107472928
6748564,72,6952793,0.10964912280701754,0.27631578947368424,2.20316912467359,0.24962634031420894
6834499,72,7037279,0.0989010989010989,0.3131868131868132,1.8283574581223758,3.6607333638945896
6913365,72,7117080,0.18055555555555555,0.35185185185185186,1.0254999177479394,1.9378093381663657
6991026,72,7194570,0.13768115942028986,0.322463768115942,1.8033133021384016,2.4211588859544486
7065334,72,7272427,0.18604651162790697,0.35348837209302325,3.050632295982001,1.7180900720343786
7146294,72,7357809,0.10849056603773585,0.27358490566037735,0.19058054479211184,3.2803922105694854
7235867,72,7445639,0.21074380165289255,0.3760330578512397,2.670509127096922,1.1934253675885071
7325028,72,7534843,0.03678929765886288,0.23411371237458195,3.641700060116692,1.5085360001340349
7403396,72,7612649,0.10144927536231885,0.3333333333333333,0.1287435335318192,1.878085815892395
7474466,72,7687028,0.23829787234042554,0.44680851063829785,2.7716963218409445,1.3827725348283213
7547375,72,7765737,0.0446927374301676,0.2681564245810056,3.683273318992958,1.7681555167950789
7630798,72,7849632,0.1693548387096774,0.3548387096774194,3.849975519683151,0.6301565475417932
7706133,72,7934143,0.17054263565891473,0.4108527131782946,2.667244274794025,1.4547887026377309
7778424,72,8011147,0.20603015075376885,0.3969849246231156,1.3592030360941143,2.651835923568049
7860333,72,8090035,0.14736842105263157,0.3684210526315789,1.3352009762928272,1.2054192741043714
7935722,72,8171754,0.1282051282051282,0.3487179487179487,1.0990317371348741,2.1556519240691965
8012756,72,8249123,0.16393442622950818,0.319672131147541,2.613214742574083,0.7008993095267146
8094210,72,8330739,0.3022222222222222,0.5155555555555555,1.5027347643561262,3.8888689238859993
8175593,72,8410368,0.171875,0.3671875,1.2762183261444329,1.5465124041945915
8241267,72,8481683,0.17142857142857143,0.4142857142857143,1.5641359248539364,1.2685241880580662
8311356,72,8558171,0.12295081967213115,0.3237704918032787,3.052368417286205,0.6318974712832834
8384388,72,8632072,0.14285714285714285,0.3968253968253968,0.8940695265549745,0.1822211434675327
8460952,72,8710535,0.15270935960591134,0.43349753694581283,0.0,0.0
8560074,72,8794157,0.36363636363636365,0.5636363636363636,1.151988773170518,0.7304463942251134
8629805,72,8871092,0.21287128712871287,0.43564356435643564,0.0,2.210125753982304
