Index,FOF_Halo_ID_At99,Subhalo_ID_At84,FOF_Halo_ID_At84,GroupPos,Group_R_Crit200,Group_R_Crit500
33,4561713,2641258,4679229,"[180676.53125, 453780.59375, 304583.75]",1558.5299072265625,933.9528198242188
34,4656216,2702220,4770290,"[313728.5, 4366.59130859375, 174882.625]",1842.771728515625,1197.6959228515625
35,4753637,2760419,4863078,"[159852.3125, 130703.28125, 531204.125]",1339.9368896484375,903.3660888671875
36,4854863,2819463,4963084,"[138318.03125, 470071.9375, 547384.9375]",1837.61669921875,1242.8353271484375
37,4959833,2877270,5055393,"[134940.40625, 631854.5, 288287.71875]",1637.7733154296875,1051.4364013671875
38,5059214,2937357,5161003,"[348832.96875, 304579.6875, 368857.9375]",1669.5430908203125,1079.2025146484375
39,5160063,2996855,5263968,"[301377.375, 505717.90625, 203706.890625]",1500.02783203125,954.5769653320312
40,5251697,3052457,5360800,"[498402.78125, 173833.5625, 540901.5625]",1321.0103759765625,836.0328369140625
41,5348819,3108044,5457549,"[635310.0625, 102354.953125, 128145.4296875]",1344.2767333984375,881.48388671875
42,5432141,3163885,5549122,"[625291.875, 233057.28125, 569159.9375]",1653.803466796875,1075.7357177734375
43,5524229,3217698,5641027,"[587517.125, 154304.53125, 451633.625]",1752.931640625,1143.524169921875
44,5608717,3278015,5730502,"[676021.0625, 647828.625, 671337.25]",1669.866455078125,1094.746826171875
45,5693289,3331341,5815866,"[558865.6875, 581309.6875, 350820.71875]",1668.72216796875,1053.8648681640625
46,5787144,3381764,5914383,"[487169.96875, 295352.3125, 15415.0703125]",1197.5115966796875,809.4374389648438
47,5873398,3433975,6004326,"[285425.09375, 455272.46875, 657321.3125]",1512.49072265625,977.6229858398438
48,5956970,3493418,6091342,"[476535.625, 465233.78125, 115897.8515625]",1754.2694091796875,1135.7293701171875
49,6043040,3546529,6174196,"[544329.8125, 117128.2890625, 636054.9375]",1794.5230712890625,1150.0526123046875
50,6130348,3600387,6264728,"[674657.875, 340810.09375, 625602.3125]",1376.8641357421875,871.4443359375
51,6225917,3649939,6355787,"[318551.59375, 348377.53125, 277154.90625]",1665.5374755859375,1097.013671875
52,6325415,3697942,6452837,"[607241.625, 440279.34375, 178740.953125]",1608.464111328125,1016.70361328125
53,6412656,3749850,6542554,"[143660.34375, 617677.8125, 337778.53125]",1563.8140869140625,1034.0533447265625
54,6499612,3799247,6632190,"[168137.0, 204454.09375, 56402.07421875]",1501.4014892578125,958.1993408203125
55,6574070,3848097,6712233,"[131512.265625, 71793.1640625, 168429.09375]",1784.5830078125,1132.7191162109375
56,6664769,3898909,6797390,"[207544.359375, 44387.7578125, 422994.09375]",1330.386474609375,840.3939208984375
57,6748564,3948022,6884970,"[163113.28125, 604751.0, 361509.40625]",1494.8773193359375,987.0975952148438
58,6834499,3995377,6975114,"[22375.771484375, 190201.875, 146223.28125]",1576.9710693359375,999.0276489257812
59,6913365,4045388,7050334,"[240429.859375, 362300.84375, 205844.4375]",1598.1336669921875,1074.86474609375
60,6991026,4091803,7123262,"[82672.4609375, 420202.9375, 39947.79296875]",1612.3843994140625,1076.4490966796875
61,7065334,4139048,7200224,"[157008.09375, 188840.375, 218389.734375]",1569.740478515625,1053.938720703125
62,7146294,4187566,7284734,"[660664.0, 358504.59375, 114695.03125]",1640.44970703125,1020.3325805664062
63,7235867,4234683,7372060,"[346745.84375, 67326.1796875, 477441.0]",1374.4974365234375,847.6403198242188
64,7325028,4285372,7470527,"[7576.34130859375, 294411.4375, 599785.4375]",1687.3836669921875,1102.91650390625
65,7403396,4327624,7554890,"[405067.1875, 312855.71875, 304328.96875]",1472.491455078125,863.627685546875
66,7474466,4371662,7626151,"[193247.34375, 95899.8515625, 145856.25]",1398.415771484375,903.1932373046875
67,7547375,4421012,7700771,"[554756.0, 314553.6875, 130147.6875]",1451.9716796875,905.8766479492188
68,7630798,4469972,7785562,"[295133.28125, 62931.9296875, 425630.875]",1196.5057373046875,741.3389282226562
69,7706133,4516949,7869050,"[671766.25, 361349.3125, 632355.5625]",1388.17138671875,833.8085327148438
70,7778424,4560263,7944628,"[337400.15625, 393091.8125, 86532.3046875]",1514.775634765625,995.6260986328125
71,7860333,4604862,8026188,"[55073.62890625, 83123.7421875, 468652.5]",1464.2213134765625,960.3793334960938
72,7935722,4654460,8100641,"[455723.34375, 155390.03125, 539063.8125]",1507.016357421875,955.0289916992188
73,8012756,4697952,8179091,"[316432.40625, 622699.0, 451026.25]",1268.147216796875,861.5333251953125
74,8094210,4742470,8260765,"[222306.671875, 483006.53125, 451031.53125]",1587.6162109375,1092.75927734375
