FOF_Halo_ID,Subhalo_ID,sigma_0_projectz,sigma_3_projectz,sigma_5_projectz,sigma_10_projectz
6542554,3749850,2.717112856294916,6.172976875349509,8.418197124175443,8.418197124175443
6632190,3799247,2.846167876915499,0.8967782662270591,1.1422794889126384,3.463263448088247
6712233,3848097,978.3473488193368,107.74334091586377,112.85087743638806,112.96643747199369
6797390,3898909,728.3217506528403,728.3217506528403,14.198299709358945,11.428575624726967
6884970,3948022,655.0381638277498,655.0381638277498,8.195923800614148,9.693014220650507
6975114,3995377,102.0440931284362,116.14631188222498,115.69681313268268,27.67483501580109
7050334,4045388,405.3346647215358,1.0480361158797473,1.0480361158797473,7.68323994550641
7123262,4091803,713.7582690853618,2.6878059362036426,1.19067903923517,7.098021252423527
7200224,4139048,304.31674832787013,7.558363237641402,7.534470622470348,10.838954907113392
7284734,4187566,381.51831673371044,187.6644813081444,187.21323004286407,187.5497400202286
7372060,4234683,1089.8250478682455,2.3299197254226325,9.026281281717266,18.371694208575498
7470527,4285372,886.704812289789,886.704812289789,886.704812289789,18.259355176036085
7554890,4327624,2886.6883124107494,2885.0341672975974,2885.0341672975974,2131.0856554006486
7626151,4371662,445.92720160537795,445.92720160537795,445.92720160537795,445.92720160537795
7700771,4421012,194.03583226948368,176.46893876320743,176.46893876320743,176.46893876320743
7785562,4469972,1173.4358636092866,1.505453324172961,1.505453324172961,2.674049667547322
7869050,4516949,1001.5894203922821,1.6492245815615654,1.3976338153765349,0.7157494985260846
7944628,4560263,692.748469361913,372.75892364595103,10.6086469632852,9.39316412086516
8026188,4604862,971.3334322309602,1.148546084878597,3.4870179041744978,5.829992710952796
8100641,4654460,617.0532984667744,617.0532984667744,616.2512239433673,616.2512239433673
8179091,4697952,9.152361038365903,1.1374169180360523,1.1374169180360523,4.854561128678368
8260765,4742470,632.0495907690085,632.0495907690085,632.0495907690085,115.90771707909995
8339028,4787459,561.2937791886543,2.5950463559965526,2.5950463559965526,3.5183307158177453
8410513,4833292,1251.8381267554855,1.0681666713412412,1.1005549123548013,1.1005549123548013
8488420,4879477,1160.2585347026602,1160.2585347026602,2.4551892312765773,4.069209896438126
8561921,4924625,1.0787669004916534,1.2754340567745772,1.2754340567745772,1.0679465669310384
8644038,4968444,396.61580388476233,395.0250741510258,396.4829907608401,410.4369545030603
8732471,5008673,154.8738579350015,1.11435203891501,2.599915323805054,4.791968549522875
8806600,5047444,2.8120418192137797,1.0115310459588165,1.3407655426651415,4.417261463784024
8878897,5089679,1524.0203991380085,1524.8839770754782,1524.8839770754782,1522.05621637121
8954746,5128657,4.222663151305357,4.7710605032021896,3.3784357973134327,5.859847599579784
9035624,5166907,733.8099777909289,1.5386822057178402,1.5386822057178402,2.3309905726904696
9111731,5206333,905.7152182383066,0.6010999401883838,1.6412720266334264,2.7184756444723304
9187604,5251152,476.33833379895344,474.7088225264767,42.647972905355864,28.82070148529242
9262342,5293336,11.115765351224221,1.3242744735489649,4.290210617863142,4.290210617863142
9336845,5334901,176.38832864621364,3.3708357081096505,1.0281495665548124,42.329868167022134
9406210,5374472,2287.9402927557794,1.0529643001861528,1.2446480881964728,9.181259477011412
9475827,5414027,215.78694011225477,189.95296421848823,195.835337838476,198.1402525975295
9542454,5457265,1.025909448867409,1.3634833544223575,2.8799731843362504,8.11964907726563
9618320,5500393,841.0527244476128,1.2480483359483292,1.1517250205477905,9.372158250166331
9692480,5543535,2.9245380063180297,0.969131991720833,1.4137621212464295,6.177308272086959
