tau,mse_test,mse_train,R2_test,R2_train,n_samples
0.1,0.1458855692368441,0.14777896345116037,0.044584166223462285,0.1143993233170556,29517.0
0.2,0.20253297254296912,0.20717266429727987,0.0909034970164635,0.2041003960809039,28461.0
0.3,0.27320194820843297,0.27590600613586774,0.13366923651068585,0.27850907332151864,27408.0
0.4,0.34237002536475286,0.34149928573719,0.17472593776593015,0.3354999877819622,27408.0
0.5,0.42348264009505604,0.3882825371539647,0.19683424202365052,0.4097672958904667,26352.0
0.6,0.4997188434000594,0.4382410247565578,0.2296223869781392,0.45849975051550784,25299.0
0.7,0.5670318430056172,0.48984579362069636,0.2657642792954654,0.492209583387313,25299.0
0.7999999999999999,0.6490218259605111,0.5340167280183408,0.2860164298919141,0.5280470314644086,24243.0
0.8999999999999999,0.7117448057009571,0.5817063355954493,0.3192659425734252,0.5519747187962751,24243.0
0.9999999999999999,0.7761681131699267,0.6446750292399318,0.35062880535005003,0.5639635894626359,23190.0
1.0999999999999999,0.8329842015263472,0.6810452559344737,0.38224507005492814,0.590643673581198,22134.0
1.2,0.9349036652039371,0.6456352657012276,0.3781964786622306,0.650084494247186,22134.0
1.3,0.9825044704686159,0.6791302838367594,0.41190288339789394,0.6670698492282159,21084.0
1.4,1.0726823939204608,0.7001882483566888,0.41562433476898153,0.6856037235000165,21084.0
1.5,1.0923352506143327,0.7500840571810179,0.45890117507905737,0.6911239118450127,20031.0
1.5999999999999999,1.0928535726877153,0.7788810604137012,0.5055757340204415,0.7042777461447679,18978.0
1.7,1.1862994354183465,0.7938763727726651,0.5029545731213892,0.7191031102162082,18978.0
1.8,1.2900845394000613,0.7818100459946858,0.5012853303084857,0.7433900207067088,17931.0
1.9,1.2744744279772546,0.8594992348348846,0.5394300868490784,0.7346917619156723,17931.0
2.0,1.3058171449284965,0.8937353315638342,0.56103388313154,0.740805120177858,16875.0
2.0999999999999996,1.2918893015178972,0.9850340880023346,0.5946121897619014,0.7313518583869842,15822.0
2.1999999999999997,1.3400940916243613,0.9883533640205676,0.6024420000692271,0.7437787795063278,15822.0
2.3,1.413960657529557,1.0491703883410448,0.6057170602989422,0.7421362673128803,14766.0
2.4,1.4720514130829936,1.0437969909260605,0.6131094868771296,0.7561602778693938,13710.0
2.5,1.4930323126679887,1.1767038972806148,0.6256783027661523,0.7365153127594954,13710.0
2.6,1.6352737127113635,1.1056885470189866,0.6111602988384365,0.7634663586694198,12654.0
2.6999999999999997,1.6618610855420386,1.140037993967272,0.621185605860854,0.7651585203820248,12654.0
2.8,1.7551546179172497,1.220665000120845,0.6184668981398931,0.7586070384813016,11598.0
2.9,1.7534440238394853,1.2624335464467618,0.6355083503460186,0.7598682383546487,10542.0
3.0,1.7518598031752655,1.3699415889711586,0.6487783282669137,0.7476475731014871,10542.0
3.0999999999999996,1.8349716717298474,1.428501506092579,0.6469052940630915,0.7458845837186467,9486.0
3.1999999999999997,1.8705490196575087,1.4685799973951033,0.6516527088699392,0.7462060170556664,9486.0
3.3,1.8587176887786265,1.515996663951042,0.6664940244053006,0.7470826625836526,8433.0
3.4,1.880998322073056,1.5608135458496728,0.6743268732702772,0.7474402664283224,7377.0
3.5,1.9184304305625348,1.6008211740171236,0.6771330956858352,0.7473534110787773,7377.0
3.5999999999999996,1.9627326485653926,1.7857644312344214,0.6801450701895666,0.7255819237099881,6324.0
3.6999999999999997,2.0077911393010304,1.8249860471345782,0.6811464201926931,0.7258555086816848,6324.0
3.8,2.0326117025061414,1.3181205530253348,0.6859317592700638,0.8067990466813234,5271.0
3.9,2.0551085439061434,2.1025715469805237,0.6910313008672306,0.6985335580180592,4221.0
4.0,2.0283030703002547,1.8758282077431654,0.7018677373571973,0.7363394409971444,4221.0
