tau,mse_test,mse_train,R2_test,R2_train,n_samples
0.1,0.1517427346774058,0.12683439884923206,0.049685532460657655,0.09694510663698619,4917.0
0.2,0.19004413346922056,0.147129062264329,0.08459636114846847,0.180891610818116,4917.0
0.3,0.23018192225855136,0.17960053634105375,0.12730008435965257,0.222086204120564,4917.0
0.4,0.2686681139274864,0.21319950815510397,0.1676532018002589,0.2615061030124991,4917.0
0.5,0.30308639842454493,0.2476660850482783,0.21095534178527475,0.29430666190746624,4917.0
0.6,0.33656998818799166,0.2709070873731148,0.2486518320702712,0.3497587285383371,4917.0
0.7,0.37970148066397713,0.2094877336669732,0.26199090909563705,0.5682357483620717,4917.0
0.7999999999999999,0.40641757775775794,0.22679018261009937,0.3038914776863588,0.5923800257232139,4917.0
0.8999999999999999,0.43018483889938786,0.2506746668259786,0.34425229060723095,0.6021190739254901,4917.0
0.9999999999999999,0.4622444210085697,0.22305447323254718,0.3676512762504007,0.6840647316797537,4917.0
1.0999999999999999,0.4935627031214965,0.1283736365744273,0.38967090382048475,0.836305748166209,4917.0
1.2,0.5161396887141282,0.13859818652541112,0.4193932745626724,0.8396864400507329,4917.0
1.3,0.5472424374564371,0.2265549515576901,0.43682109665772006,0.7607208988379798,4917.0
1.4,0.5688614243477617,0.15053274212768208,0.46167733323255655,0.8539809010543874,4917.0
1.5,0.590844549585145,0.30100388069641937,0.4834682563877615,0.7304393068970929,4917.0
1.5999999999999999,0.607535819669726,0.4268086591816865,0.5072436037113213,0.6454655645210907,4917.0
1.7,0.6455009502228348,0.2833826451409484,0.5123623456506909,0.7807262917869554,4917.0
1.8,0.6559749540693021,0.2921852145372546,0.5367626941801263,0.7885795624207528,4917.0
1.9,0.6894138643532529,0.4804438092361953,0.5433586271753159,0.6737462120261664,4917.0
2.0,0.7164356900240988,0.49502735712626705,0.5535083036936956,0.6834852763342938,4917.0
2.0999999999999996,0.7458503637401935,0.5162232764927406,0.5613688498238656,0.6882730843511742,4917.0
2.1999999999999997,0.7629367082227263,0.5335097721860377,0.5754434632331885,0.6948765066507757,4917.0
2.3,0.7971216924703585,0.40725022849883596,0.5791932332221125,0.7788282109893561,4917.0
2.4,0.8137328241338091,0.5717626201234767,0.5914989495920271,0.7044165139693981,4917.0
2.5,0.8362874453155608,0.5859717651125096,0.5998726350949283,0.7109802935555208,4917.0
2.6,0.8715096205934026,0.24565518552889834,0.6017414762246736,0.8841518549026819,4917.0
2.6999999999999997,0.9022413016828844,0.06369554802643482,0.6054246740337658,0.9712225844548131,4917.0
2.8,0.9308569863695514,0.06653573640634523,0.6096826584265336,0.9711470370141563,4917.0
2.9,0.9400414870591751,0.15572803431916346,0.6214042118472503,0.9350680418406855,4917.0
3.0,0.9687093207758766,0.15885870979558994,0.6246481916057982,0.936206462146009,4917.0
3.0999999999999996,0.9869032259014385,0.1635677073593232,0.6315169414051025,0.9366403761551033,4917.0
3.1999999999999997,1.0156831366691181,0.1690775157895746,0.6340322571459289,0.9367316490549276,4917.0
3.3,1.0303231468604712,0.6437880208307374,0.6412367658345179,0.7669606974302279,4917.0
3.4,1.015799317047453,0.46282885921939954,0.6577309854620808,0.8377223683223299,4917.0
3.5,1.0981635416054365,0.6631388352018301,0.6414940692478817,0.7745087561749661,4917.0
3.5999999999999996,1.0731361484329336,0.4814412349010324,0.660163938578693,0.8410496718922398,4917.0
3.6999999999999997,1.0779132620098704,0.48654046945305096,0.6685084263021199,0.8438619109198539,4917.0
3.8,1.1281622003931417,0.18534538076040058,0.6627144095647135,0.9421242086815735,4917.0
3.9,1.1469770632045655,0.1843826661541155,0.6662982635165452,0.9439222615151203,4917.0
4.0,1.1759036002038201,0.1909493086465023,0.6667495419112524,0.9433823804672778,4917.0
