tau,mse_test,mse_train,R2_test,R2_train,n_samples
0.1,0.1484284132908415,0.134780111486445,0.04691684943542118,0.14720869850354035,4917.0
0.2,0.20546841017485187,0.1854056091185734,0.07308640973774838,0.2615706978804879,4917.0
0.3,0.2868144083983409,0.26749873509465516,0.09674596488807674,0.2932408785633285,4566.0
0.4,0.3579486636754691,0.335376461664874,0.14150754540876898,0.34578015539683904,4566.0
0.5,0.4294172888080614,0.40346508839572415,0.1822748744469489,0.38376211407755034,4566.0
0.6,0.5205564103385372,0.45659035675521414,0.20059136248828402,0.4364774927062218,4215.0
0.7,0.5828838929970482,0.38018099971175906,0.2484760575369389,0.6073031483672825,4215.0
0.7999999999999999,0.6995958368171864,0.4650617670199,0.22807670430809757,0.5888343908980921,4215.0
0.8999999999999999,0.7204277565828474,0.45392717182030906,0.309209780509482,0.6504132140835064,4215.0
0.9999999999999999,0.8065310336732595,0.467856814037046,0.32793770041798187,0.6856595619971775,3864.0
1.0999999999999999,0.9116586728747738,0.5587364600657182,0.32477232785357035,0.6649148758991521,3864.0
1.2,0.9663347997595066,0.5994232408283149,0.3579020721270836,0.6758394351358158,3864.0
1.3,1.0179019671629417,0.7451576017001607,0.3939758369713068,0.6375407634140096,3514.0
1.4,1.0677156542264146,0.7913870490772639,0.42171889011979713,0.6476077989057183,3514.0
1.5,1.1182886638176133,0.8371855504167641,0.44532220772112985,0.656379559687144,3514.0
1.5999999999999999,1.168863932171519,0.7035405831480732,0.4749622809513595,0.7352843703923325,3163.0
1.7,1.2026791150955032,0.7951881886861559,0.49979877127949857,0.7212410819713695,3163.0
1.8,1.2520487969981149,0.8310790780834554,0.5154283479923483,0.7272066798275894,3163.0
1.9,1.2975918919696428,0.8710979150393516,0.5305412579192264,0.7310718120363442,3163.0
2.0,1.3738111648957978,0.8106647426460698,0.5417389081637213,0.7660023767875277,2811.0
2.0999999999999996,1.3361560047775807,0.920528745543313,0.5801207607883598,0.7482857308042647,2811.0
2.1999999999999997,1.3795229531837532,0.9571069296027125,0.5901564314627559,0.7512246543990938,2811.0
2.3,1.4362014051832415,1.078557275029574,0.6024356932836775,0.7356252412154666,2459.0
2.4,1.567397358876627,0.935880043954774,0.587265177619277,0.780689730775511,2459.0
2.5,1.5534191205869046,1.1438385582766748,0.6097940556380916,0.743076900732081,2459.0
2.6,1.6624632337672816,1.1658121462776583,0.607083401815957,0.751126982660009,2107.0
2.6999999999999997,1.7387628753965856,1.0874632627136989,0.6060594840641058,0.7764607619271946,2107.0
2.8,1.79579197450992,1.118279507789401,0.6091075041527929,0.7781960353315531,2107.0
2.9,1.7736890359633741,1.280600225435625,0.6331349103100223,0.7567793094239386,1755.0
3.0,1.8184206134074683,1.324928436061313,0.6372619748132542,0.7563037882115768,1755.0
3.0999999999999996,1.88624461650054,1.3610958833773081,0.6364568362964373,0.757159237347415,1755.0
3.1999999999999997,1.893897771740324,1.4042333016894972,0.6467297214822484,0.7566090339382949,1755.0
3.3,1.901986859096711,1.4689043411261136,0.6600696764709798,0.7559293111651553,1404.0
3.4,1.9413083179564177,1.508078741022729,0.6631996992804052,0.7559041563737304,1404.0
3.5,1.9821051276495674,1.5431432553967421,0.6657270309392815,0.7563946440742537,1404.0
3.5999999999999996,1.8640401630948829,1.8154775815823228,0.6969347327939719,0.7217253137902433,1053.0
3.6999999999999997,1.9107505610935107,1.8548031024324239,0.6972475802257463,0.7220832318495851,1053.0
3.8,2.0820456721839187,1.547240027034405,0.6781378353158916,0.7731490572315389,1053.0
3.9,2.4965071506530974,1.365486428126517,0.6258112950039885,0.804381837959072,703.0
4.0,2.4725883229543313,1.404048762630557,0.6376604477082072,0.8028211678610838,703.0
