tau,mse_test,mse_train,R2_test,R2_train,n_samples
0.1,0.006014305013992873,0.006197201440156346,0.044489159861920036,0.08090701488277974,29517.0
0.2,0.03304253013170942,0.034260949079714324,0.06850608226937116,0.1266820568764916,28461.0
0.3,0.06848459118847405,0.0705160919927096,0.09129953259323997,0.1711205214395648,27408.0
0.4,0.1047223714764114,0.10873011771845185,0.11952574326859211,0.20207166795269105,27408.0
0.5,0.145228986049628,0.14880364221271244,0.135100902298942,0.23349318470503388,26352.0
0.6,0.18295159516921922,0.18740291799707606,0.15901332467743667,0.26231861952712465,25299.0
0.7,0.22320539236707745,0.19701409758086286,0.164972306140571,0.37192410061733694,25299.0
0.7999999999999999,0.26272371560412355,0.22697420346715044,0.18187168718625146,0.39861510671566014,24243.0
0.8999999999999999,0.29612010452505544,0.25535302050173386,0.20567305041167672,0.41814090371779755,24243.0
0.9999999999999999,0.33542538995118426,0.28220238255675667,0.21986102964315302,0.4405527253463135,23190.0
1.0999999999999999,0.37452590700416716,0.30622193429072864,0.2372311298732157,0.46436752287547167,22134.0
1.2,0.40361813949368336,0.3329743774806101,0.25834515959566584,0.4747931073496894,22134.0
1.3,0.4281155634187924,0.35065418237982415,0.2893231494007461,0.49947014104167975,21084.0
1.4,0.4588314914698163,0.3739679899720396,0.3001920135197339,0.5093811146251119,21084.0
1.5,0.48228930006329634,0.3919114060458269,0.31795915690271204,0.5279341329132643,20031.0
1.5999999999999999,0.5095950714493509,0.40540550606520265,0.3299482183255035,0.5457922417171235,18978.0
1.7,0.5369911005844832,0.42705983896642274,0.33927985281548345,0.5518341374920792,18978.0
1.8,0.5745483132737401,0.4361245771875979,0.3419752280286765,0.5723943622057852,17931.0
1.9,0.5966865174692805,0.4594847218743113,0.35438384939764744,0.5740754177610131,17931.0
2.0,0.6498266463541978,0.5085422065156766,0.3409116064353427,0.5556095104613978,16875.0
2.0999999999999996,0.6757515807579372,0.4739337688851034,0.3526694637242863,0.6082038453816372,15822.0
2.1999999999999997,0.6987644476215146,0.49502158021258597,0.3608029168969892,0.6091665367983574,15822.0
2.3,0.7233597484221541,0.5554660925858286,0.37062229544940395,0.5815686979301093,14766.0
2.4,0.7706589613588403,0.6431843154607283,0.36048390497738503,0.5370191537957859,13710.0
2.5,0.790864210795027,0.6728148477160032,0.36874411287393016,0.5340454383452831,13710.0
2.6,0.844186180875914,0.6758865058579218,0.3591969058475538,0.5505053949685704,12654.0
2.6999999999999997,0.869120629246295,0.6968270473541072,0.3627535281456754,0.5523328364530288,12654.0
2.8,0.9000486877737824,0.7248746241501576,0.37018896047051475,0.5530563747302775,11598.0
2.9,0.9249240594659949,0.7306222040404294,0.38816040471968405,0.5665119228971214,10542.0
3.0,0.9511514505344106,0.7508003841815798,0.3891191792842479,0.5675705145665962,10542.0
3.0999999999999996,0.9869823701770772,0.7435488955435772,0.3916492520023692,0.5896705456561713,9486.0
3.1999999999999997,1.0120545084405208,0.7617270014894936,0.39270964474892767,0.590784243545415,9486.0
3.3,1.0306376109657096,0.7809257431104708,0.4070102513248166,0.5972896427064658,8433.0
3.4,1.08806715281606,0.7064490170810627,0.396090323919584,0.6500939605866776,7377.0
3.5,1.1353955308670178,0.634033869840466,0.38459909585446106,0.6932482203825527,7377.0
3.5999999999999996,1.1032469167894388,0.7306733666958966,0.41570224199058425,0.6601334251496093,6324.0
3.6999999999999997,1.1228093512686708,0.7436411023149636,0.41827555831632457,0.6614728378721194,6324.0
3.8,1.0571811636772595,0.7557574127835857,0.46371362867895694,0.6709074228317133,5271.0
3.9,1.0034623232140247,0.7450171460177957,0.5093436035775232,0.6907707683715245,4221.0
4.0,1.022833119324474,0.7600513208685761,0.5096213600970341,0.6905041740310238,4221.0
