tau,mse_test,mse_train,R2_test,R2_train,n_samples
0.1,0.006861055349362187,0.007537466899577705,0.027256103941017407,0.06163433309427624,4917.0
0.2,0.03436433571728524,0.037552986959068294,0.05220493537235282,0.11328637146724951,4917.0
0.3,0.07135954808254247,0.07685009622680991,0.06844683970664966,0.1538049201052456,4566.0
0.4,0.1088333830154973,0.11448047793549163,0.0917734222475256,0.20218557820305516,4566.0
0.5,0.1456610706933562,0.1537818955520993,0.11905867379140533,0.22827964890161767,4566.0
0.6,0.18449805112801074,0.19863605391069578,0.14295731718436644,0.24274798000410336,4215.0
0.7,0.21945841889099185,0.20506117393567738,0.17057939431165903,0.3653808328385303,4215.0
0.7999999999999999,0.2531806208081469,0.23808182878910034,0.195674607277453,0.38100632742054974,4215.0
0.8999999999999999,0.28471708164957105,0.26916450726500185,0.22115648420072243,0.39703782759064876,4215.0
0.9999999999999999,0.33734022223724774,0.333523690027384,0.20883322611276123,0.3550259475126559,3864.0
1.0999999999999999,0.37059169304719053,0.3671791238355865,0.22613532303800565,0.3672876796109825,3864.0
1.2,0.39096436460367967,0.3730002570676869,0.26415979654504684,0.4199316937626436,3864.0
1.3,0.4484882576423828,0.417563554890342,0.24352382447937304,0.41667822404184807,3514.0
1.4,0.4866998540028728,0.44081908946429194,0.24699555400505901,0.43404377631375335,3514.0
1.5,0.5126046974792366,0.47682457693600244,0.2669266765734015,0.4330146285990625,3514.0
1.5999999999999999,0.5363799170882215,0.4739453287333481,0.28725998952493437,0.4772527808998137,3163.0
1.7,0.5445429174196038,0.376681752482683,0.32368387427906975,0.6110275760244908,3163.0
1.8,0.5954445457630807,0.526068516538022,0.30513664955427944,0.48874026425192396,3163.0
1.9,0.6245923635760762,0.551636231774516,0.3119541347767587,0.49311017542872837,3163.0
2.0,0.6822758187651529,0.4522363823103936,0.30294062694280033,0.6112224965992694,2811.0
2.0999999999999996,0.7040491805901435,0.583745525354994,0.31578605031934237,0.5222453758026311,2811.0
2.1999999999999997,0.7314268154678041,0.6084785742363489,0.3215939278742068,0.5243125387612289,2811.0
2.3,0.7643416880056243,0.6047018362848336,0.32952527262152553,0.5511572282468004,2459.0
2.4,0.7892715511245265,0.6248447802759223,0.3360302234893666,0.5548369451015533,2459.0
2.5,0.8141630404720116,0.6462355061440705,0.34147793172639784,0.5569783916788638,2459.0
2.6,0.8712808546140708,0.6470078330452096,0.3378318075063198,0.5762912010888506,2107.0
2.6999999999999997,0.8987463098018501,0.6653445600522303,0.3406410730811178,0.579182562448938,2107.0
2.8,0.9225700774404199,0.6866853646007821,0.3453393790148418,0.5797186897983716,2107.0
2.9,0.9987597356062695,0.6918546314384026,0.3450978027368974,0.5958939964960207,1755.0
3.0,1.0235829343153255,0.7124797359024694,0.3486409977267897,0.5961205072163778,1755.0
3.0999999999999996,1.048471247638423,0.7290341666284946,0.35150363926220296,0.598305958816671,1755.0
3.1999999999999997,1.076154666603606,0.7471078354032152,0.3521102202723623,0.5993006672279537,1755.0
3.3,1.0632808941889955,0.8553116037279486,0.395666506085818,0.5663186540050811,1404.0
3.4,1.0835302988260065,0.876037225440549,0.3992984374094686,0.5666293806782621,1404.0
3.5,1.1077660206383055,0.9708314370965364,0.4002606677117275,0.5308955393024968,1404.0
3.5999999999999996,1.0495004858238344,0.6631375111669361,0.4452601018777178,0.6970022351306198,1053.0
3.6999999999999997,1.096385524401823,0.6156770614923278,0.433284775946263,0.7247265909171438,1053.0
3.8,1.0548019662591959,0.9954915637839068,0.46630363435320155,0.5640536816133476,1053.0
3.9,1.0839717686725987,0.7287966913470542,0.4802135527905308,0.7031680726017494,703.0
4.0,1.1047885606942656,0.743841897053306,0.48060984437002885,0.7028154207800694,703.0
