cluster_name,blue_frac,redshift,D_comb
Abell 4010,0.21717171717171718,0.0962,0.0
Abell 1651,0.23130841121495327,0.084945,0.0009785
Abell 1644,0.23529411764705882,0.047099,0.0002868
Abell 3558,0.24586977648202138,0.048367,0.9994956
Abell 3921,0.24149659863945577,0.092771,0.0456247
RXCJ1539.5-8335,0.3434343434343434,0.0728,0.0
